序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
101,143秒,有,有,我想玩〖双簧管〗,会,没有,会〖歌舞剧 话剧 古典演奏〗,渴望,幻想过这种生活〖诗人〗,大一,非艺术类专业,男,看剧看展 吹双簧管
102,85秒,有,无,我想玩〖琵琶，口琴〗,会,没有,会〖新奇的艺术展〗,渴望,无,大一,非艺术类专业,女,自己一个人出去采风
103,333秒,有,有,我想玩〖钢琴〗,会,我想画〖屎〗,茫然,不会,无,大一,非艺术类专业,女,会跳跳舞
104,125秒,有,无,我想玩〖钢琴〗,会,我想画〖蓝天白云〗,会〖都会〗,渴望,幻想过这种生活〖很喜欢〗,大一,非艺术类专业,女,听音乐，画画，刷微博艺术博主的微博
105,67秒,有,无,我想玩〖吉他〗,会,我想画〖天菜〗,会〖写生〗,渴望,幻想过这种生活〖自由职业的插画家〗,大三,非艺术类专业,男,偶尔画点有意思的小东西
106,171秒,有,无,我想玩〖钢琴〗,会,没有,会〖音乐会（尤其交响），音乐剧、话剧，艺术展（798常有的那种〗,渴望,无,大二,非艺术类专业,男,偶尔出去看看展和剧
107,101秒,有,有,茫然,不会,没有,会〖摄影〗,渴望,无,大一,非艺术类专业,男,照照片
108,125秒,有,有,我想玩〖尤克里里〗,不会,我想画〖大眼二次元福瑞〗,会〖音乐剧 电影 艺术照 雕塑 等等〗,不会,幻想过这种生活〖漫画或者动画师〗,大三,艺术类专业,女,看电影 看动画
109,81秒,有,有,我想玩〖吉他〗,会,我想画〖这世界〗,茫然,渴望,幻想过这种生活〖〗,大一,非艺术类专业,男,画
110,126秒,有,有,我想玩〖吉他〗,不会,我想画〖飒飒女少侠〗,会〖音乐会〗,渴望,幻想过这种生活〖绘吾所想，无拘无束〗,大一,非艺术类专业,女,（看别人画画）
111,92秒,有,有,我想玩〖吉他〗,不会,我想画〖人物〗,会〖音乐/绘画〗,不会,幻想过这种生活〖插画师〗,大一,非艺术类专业,男,插画/音乐
112,117秒,有,有,我想玩〖古筝〗,不会,我想画〖油画人物〗,会〖行为艺术〗,渴望,幻想过这种生活〖行为艺术家〗,大二,非艺术类专业,女,参观湖北美术馆
113,39秒,有,无,我想玩〖古筝〗,会,没有,茫然,渴望,无,大二,非艺术类专业,女,看电影
114,66秒,有,有,我想玩〖架子鼓〗,不会,我想画〖大树〗,会〖街头路演〗,不会,幻想过这种生活〖像五月天那样〗,大二,非艺术类专业,女,听歌，看演唱会
115,183秒,有,有,我想玩〖钢琴〗,会,我想画〖抽象夸张的花，太阳，蓝天白云〗,会〖戏剧表演，电影，画展，音乐会〗,渴望,幻想过这种生活〖不用考虑生活来源，专心享受学习知识，创造艺术带来的快乐〗,大一,非艺术类专业,女,小涂鸦，文学创作，阅读，看展，看电影
